CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U36991DD1995PTC001821,CELLO WRITING INSTRUMENTS AND CONTAINERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Guarantee,5000000,3600000,3/31/1995,Daman and Diu,RoC-Goa,Manufacturing (Others),PLOT NO.D-7RINGANWADA O.I.D.C. DAMAN (U.T) DAMAN (U.T.) Daman and Diu INDIA,Indian Non-Government Company
U18101DD1995PTC001770,ABIAS EXPORTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,3500000,100000,02-01-95,Daman and Diu,RoC-Goa,Manufacturing (Textiles),"2ND FLOOR, DHARMESHAPARTMENTS, TEEN BATTI, DEOKA ROAD, DAMAN. DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U21029DD1995PTC001769,FABRICO PACKERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,10000000,6750000,02-01-95,Daman and Diu,RoC-Goa,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","S.NO.57/3 (1) PART A, BHENSLORE, DUNETHA, NANI DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U25209DD1994PLC001633,STALLION BREWERIES LIMITED,ACTIVE,Public,Company Limited by Shares,50000000,657000,7/27/1994,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",BHARAT PIPES COMPOUND AIRPORTROAD NANI DAMAN DAMAN (U.T.) DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U01122DD1994PLC001596,SHINGAR LIMITED,ACTIVE,Public,Company Limited by Shares,250000000,54066000,5/24/1994,Daman and Diu,RoC-Goa,Agriculture and Allied Activities,"Gala No. 08, Mahavir Industrial Estate, Somnath, Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U25114DD1993PTC001437,TRIDENT RUBBER PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,1000000,1000000,9/27/1993,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",768/2 SOMNATH ROADDAMAN DAMAN U T OF DAMAN & DIU Daman and Diu INDIA 396210,Indian Non-Government Company
U15511DD1993PTC001431,KHEMANI DISTILLERIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,50000000,11500000,09-09-93,Daman and Diu,RoC-Goa,Manufacturing (Food stuffs),"RINGANWADAKACHIGAM ROAD, DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U24232DD1993PTC001384,NANDLAL BANKATLAL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,5000000,2450000,6/29/1993,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","15B PRUTHVI , INDL COM , 15/2 RINGANWALA NANI DAMAN (U.T) DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U74950DD1993PTC001373,ZEAL PACKAGING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,2500000,102000,6/17/1993,Daman and Diu,RoC-Goa,Business Services,"VILLAGE DALWADA,DEVKA TAIWAD ROAD NANI DAMAN DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U26931DD1993PTC001315,KOSMOS GRANITE AND EXPORTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,1500000,1075000,01-05-93,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",SURVEY NO.361(8)SHREE GANESH IND. ESTATE KANCHIGAM DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
