CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U00892JH1996PTC007408,SUNNY COMPUTER INFORMATION AND TECHNOLOGY PRIVATE LIMITED.,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,06-08-96,Jharkhand,RoC-Jharkhand,NA,"BHULI ROAD,DISTT. - DHANBAD. DISTT. - DHANBAD. Bihar INDIA",Indian Non-Government Company
U27100JH1966PTC000701,KATYAL INDUSTRIES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00","10,000.00",01-01-66,Jharkhand,RoC-Jharkhand,"Manufacturing (Metals & Chemicals, and products thereof)",JAMSHEDPUR JAMSHEDPUR Jharkhand INDIA,Indian Non-Government Company
U00201JH1994PTC006242,JAYLAKSHMI DAIRY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"600,000.00",NA,15-12-94,Jharkhand,RoC-Jharkhand,NA,"BARDWAN COMPOUNDJC ROAD PS LALPUR RANCHI, BIHAR Bihar INDIA",Indian Non-Government Company
U00064JH1994PTC006240,JAY DEEP MARKETING PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00",NA,15-12-94,Jharkhand,RoC-Jharkhand,NA,"104, RANCHI CLUB COMPLEXMAIN ROAD, PS. CHUTIA RANCHI BIHAR Bihar INDIA",Indian Non-Government Company
U72300JH1994PTC006234,KEJRIWAL INFORMATION & COMPUTER SYSTEMS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","470,000.00",12-12-94,Jharkhand,RoC-Jharkhand,Business Services,"1ST BY LANE, J.C. ROAD PS- LALPUR RANCHI Jharkhand INDIA 834001",Indian Non-Government Company
U45200JH1986PTC001852,SANDHU CONVEYOR COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","200,000.00",03-03-86,Jharkhand,RoC-Jharkhand,Construction,JAMSHEDPUR JAMSHEDPUR Jharkhand INDIA 831001,Indian Non-Government Company
U45200JH1983PTC001796,SUKDEO SINGH CONSTRUCTION PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","50,000.00",08-04-83,Jharkhand,RoC-Jharkhand,Construction,ULYAN HOUSES D SINGH PATH KADMA JAMESHEDPUR Jharkhand INDIA,Indian Non-Government Company
U45201JH1983PTC001782,MAHABIR CONTRACTS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","20,000.00",26-03-83,Jharkhand,RoC-Jharkhand,Construction,HIRAPUR NEAR ZILA PARISHAD PS- DHANBAD DHANBAD Jharkhand INDIA,Indian Non-Government Company
U51109JH1979PTC001390,SABHARWAL BROTHERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","400,000.00",15-02-79,Jharkhand,RoC-Jharkhand,Trading,Dhanbad DHANBAD Jharkhand INDIA,Indian Non-Government Company
U80220JH2006PTC012264,PAAWAN VIDYA MANDIR PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","100,000.00",28-03-06,Jharkhand,RoC-Jharkhand,"Community, personal & Social Services","BARA BAZAR,DEVI DAYAL LANEHAZARIBAG JHARKHAND-825301 PS-SADAR HAZARIBAGH HAZARIBAG Jharkhand INDIA 825301",Indian Non-Government Company
U00304JH2006PTC012227,RAMBHA CHEMICALS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","335,000.00",13-03-06,Jharkhand,RoC-Jharkhand,NA,"FLAT NO-202, SHAKTI APARTMENT, ASHOK PURAM OPP GATE NO-4, ASHOK NAGAR, PS- AURGORA RANCHI Jharkhand INDIA 834002",Indian Non-Government Company
U72200JH2002PTC012194,COMSYS SOLUTIONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","100,000.00",03-07-02,Jharkhand,RoC-Jharkhand,Business Services,C-18 VEVEKANAND ROAD BARIDIH JAMSHEDPUR Jharkhand INDIA,Indian Non-Government Company
U74200JH2002PTC012189,DASHMESH INFRASTRUCTURE PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,500,000.00","100,000.00",20-06-02,Jharkhand,RoC-Jharkhand,Business Services,SHUKLA COLONY RANCHI Jharkhand INDIA,Indian Non-Government Company
