CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U14100CT2013PTC001173,WELLFIN RESOURCES & LOGISTICS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",06-12-13,Chhattisgarh,RoC-Chhattisgarh,Mining & Quarrying,"House No.6, Diamond Villa, VIP Estate, Khamardih Raipur Chhattisgarh INDIA 492004",Indian Non-Government Company
U93020CT2014PTC001296,ALFA WELLNESS HERBALS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"300,000.00","100,000.00",25-02-14,Chhattisgarh,RoC-Chhattisgarh,"Community, personal & Social Services",C 114 SECTOR 2 DEVENDRA NAGAR RAIPUR Chhattisgarh INDIA 492001,Indian Non-Government Company
U45400CT2013PTC001190,OSHO BUILDCON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","200,000.00",19-12-13,Chhattisgarh,RoC-Chhattisgarh,Construction,NEAR GOKUL KIRANA STORES WARD NO.-42 SUBHASH NAGAR DURG Chhattisgarh INDIA 490023,Indian Non-Government Company
U45400CT2014PLC001303,AZENBY INFRACAP PROJECTS LIMITED,ACTIVE,Public,Company Limited by Shares,"500,000.00","500,000.00",04-03-14,Chhattisgarh,RoC-Chhattisgarh,Construction,"BLOCK NO-6/A,ST-79 SECTOR-6 BHILAI Chhattisgarh INDIA 490006",Indian Non-Government Company
U74920CT2013PTC001187,LIFEEZEE INTELLIGENT SOLUTIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",17-12-13,Chhattisgarh,RoC-Chhattisgarh,Business Services,"BLOCK H/27, MARUTI RESIDENCY AMLIDIH, RAIPUR RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U85300CT2014NPL001242,JPC MEMORIAL FOUNDATION,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","150,000.00",17-01-14,Chhattisgarh,RoC-Chhattisgarh,"Community, personal & Social Services",IN FRONT OF TIWARI DAIRY STEEL COLONY DURG Chhattisgarh INDIA 491001,Indian Non-Government Company
U40108CT2013PTC001201,GRAPP ENERGY VENTURES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","100,000.00",24-12-13,Chhattisgarh,RoC-Chhattisgarh,"Electricity, Gas & Water companies","395, VINAY BHAWAN NEW SHANTI NAGAR RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U24230CT2013PTC001168,HELPLINE LIFE SCIENCE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",04-12-13,Chhattisgarh,RoC-Chhattisgarh,"Manufacturing (Metals & Chemicals, and products thereof)","HOUSE NO. 30/1631, GALI NO. 3, TARUN NAGAR, RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U60231CT2013PTC001172,ROADWAYS CARGO CARRIERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",06-12-13,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications","SHOP NO. - 4, HOTEL CENTRE POINT BUILDING TRANSPORT NAGAR KORBA Chhattisgarh INDIA 495677",Indian Non-Government Company
U85110CT2014PTC001255,ANANDSHREE TRAUMA & CRITICAL CARE HOSPITAL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",31-01-14,Chhattisgarh,RoC-Chhattisgarh,"Community, personal & Social Services","69/1020/1, (Old No. 54/98), Sumit Vihar Colony, Daganiya, RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U52341CT2013PTC001182,ELITE TRADEMART & ENGITECH PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",13-12-13,Chhattisgarh,RoC-Chhattisgarh,Trading,"1753/K Infront of Kalptaru DubeHouse, Kuber Vihar, Sector III, Street No. 1, Professor Colony, RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U01403CT2013PTC001179,PRAGATEE AGROCORP PRODUCER COMPANY LIMITED,ACTIVE,Private,Company Limited by Shares,"800,000.00","500,000.00",13-12-13,Chhattisgarh,RoC-Chhattisgarh,Agriculture and Allied Activities,"FENCY VILLA, SANJAY NAGAR ROAD TIKRA PARA RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
