CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U20101NL1983PTC002102,NORTH EAST WOOD INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,200000,17-11-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),P O CHUMUKEDIMA NEAR DIMAPURDIST KOHIMA NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1983PTC002104,YANHO WOOD PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,1450,18-11-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),LOWER TIRU DIST- MON NAGINIMORA Nagaland INDIA,Indian Non-Government Company
U20212NL1983PLC002109,HILL TIMBER INDUSTRIES LTD,ACTIVE,Public,Company Limited by Shares,1000000,947000,24-11-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),UPPER TIRU DIST-MON Nagaland INDIA 798621,Indian Non-Government Company
U20101NL1983PTC002113,PONGKONG TIMBER INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,500000,30-11-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),KHATKHATI ROADDIMAPUR NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1983PTC002114,ZERO FOREST PRODUCTS PVT LTD,DORMANT,Private,Company Limited by Shares,1000000,422000,12-05-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"ZERO POINT, P.O. NAGINIMORA,DIST. MON, NAGALAND nagaland Nagaland INDIA",Indian Non-Government Company
U20211NL1983PTC002115,GREEN VALLEY VENEER PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1500000,800000,12-06-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIZITMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1983PTC002118,PAUNA WOOD INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,400,14-12-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),NAG COTTAGE CIRCULAR ROADDIMAPUR NAGALAND Nagaland INDIA 797112,Indian Non-Government Company
U20101NL1983PTC002123,K.R.VENEER AND SAW INDUSTRIES PVT. LTD,DORMANT,Private,Company Limited by Shares,1000000,820000,23-12-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"VILL. TIRU, P.O. NAGINIMORADIST. MON Nagaland INDIA",Indian Non-Government Company
U20101NL1983PTC002124,JABOKA WOOD PVT LTD,ACTIVE,Private,Company Limited by Shares,2000000,995400,30-12-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIZIT MON Nagaland INDIA,Indian Non-Government Company
U20101NL1983PTC002125,NANGTAN VALLEY FOREST PRODUCTS PVT LTD,DORMANT,Private,Company Limited by Shares,1000000,500,30-12-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIZITMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1984PTC002133,SHALIMAR TIMBER INDUSTRIES PVT LTD,DORMANT,Private,Company Limited by Shares,1000000,500000,27-01-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"P O NAGINIMORA,DIST MON NAGALAND nagaland Nagaland INDIA",Indian Non-Government Company
U20211NL1984PTC002136,EVERGREEN TIMBER INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,0,02-08-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),JAJANG VILLAGE P O AMGURIHALWATING DT MOKOKCHUNG (NAGALAND) Nagaland INDIA,Indian Non-Government Company
U20101NL1984PTC002141,MON WOOD PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,291000,24-02-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIRUMON NAGALAND Nagaland INDIA,Indian Non-Government Company
L20211NL1984PLC002149,HOTAHOTI WOOD PRODUCTS LTD,ACTIVE,Public,Company Limited by Shares,200100000,199999600,03-08-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"P.O. - NAGINIMORA, MON, Nagaland Nagaland INDIA 798622",Indian Non-Government Company
U20211NL1984PTC002151,PENSHY SAW AND VENEER MILLS PVT LTD,DORMANT,Private,Company Limited by Shares,1000000,431000,04-02-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),VILL.VAPNUWAKCHING MOM MAGALAND Nagaland INDIA,Indian Non-Government Company
U20212NL1984PTC002158,NANGMA VALLEY FOREST PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1500000,640000,04-10-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),Naginimora NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1984PTC002167,BLUE HILLS LUMBERERS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,12500,05-03-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),DIMAPUR DIMAPUR NAGALAND Nagaland INDIA 797112,Indian Non-Government Company
U20211NL1984PLC002168,JAISHREE TIMBERS PVT.LTD.,DORMANT,Public,Company Limited by Shares,4000000,1171000,05-04-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),VILL ASHIO POST DIMAPUR Nagaland INDIA 797106,Indian Non-Government Company
U15531NL1984PTC002172,NAGALAND BEVERAGES PVT LTD,DORMANT,Private,Company Limited by Shares,2500000,166050,05-10-84,Nagaland,RoC-Shillong,Manufacturing (Food stuffs),"Haralu colony,burma camp Dimapur nagaland Nagaland INDIA",Indian Non-Government Company
U20212NL1984PTC002179,BLUE VALLEY FOREST PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,300000,06-05-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIZITMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20221NL1984PLC002180,CLASSIC WOOD PRODUCTS LTD,STRIKE OFF,Public,Company Limited by Shares,1000000,0,06-05-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),5TH MILE DIMAPUR-KOHIMARD.NEAR CENTRAL JAIL P.O.DIMAPUR DISTRICT KOHIMA Nagaland INDIA,Indian Non-Government Company
U22219NL1984PTC002184,TAITO TIMBER WORKS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,300000,200000,06-11-84,Nagaland,RoC-Shillong,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)",NAMSA DIST. MON DIMAPUR Nagaland INDIA,Indian Non-Government Company
U20211NL1984PTC002190,SOLAR TIMBERS PVT LTD,ACTIVE,Private,Company Limited by Shares,5000000,5000000,29-06-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"4th Mile,Kohima Road Dimapur NAGALAND Nagaland INDIA 791112",Indian Non-Government Company
U20211NL1984PLC002191,TEPEKE VENEER AND SAW MILL PVT LTD,DORMANT,Public,Company Limited by Shares,1000000,500,29-06-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),P O TIZIR DISTIRCT MONNAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1984PTC002203,EMPIRE WOOD CRAFTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,7500,08-03-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),DIMAPUR DIMAPUR NAGALAND Nagaland INDIA 798622,Indian Non-Government Company
U20211NL1984PTC002206,"MON PANEL PRODUCTS PVT.LTD,",DORMANT,Private,Company Limited by Shares,1500000,7600,08-06-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"VETERINARY ROAD,PO.DIMAPUR-797112,DIST:KOHIMA Dimapur 797112 Nagaland INDIA",Indian Non-Government Company
U20211NL1984PTC002207,TIZIT VALLEY FOREST PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,400000,08-06-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),Tizit Valley Mon NAGALAND Nagaland INDIA,Indian Non-Government Company
U20100NL1984PLC002210,GREEN PLY INDUSTRIES LIMITED.,AMALGAMATED,Public,Company Limited by Shares,2000000,0,08-09-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),Nagaland INDIA,Indian Non-Government Company
U20211NL1984PTC002217,JAGATI TIMBER INDUSTRIRS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,770000,22-08-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIZITMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1984PTC002231,TIRUPATI WOOD INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,2000,20-09-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),Nagaland INDIA,Indian Non-Government Company
U20211NL1984PTC002232,SHANGNYU FOREST PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,500,24-09-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),Tekang Tizit NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1984PTC002234,KANGCHING TIMBER INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,300,27-09-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),VILL KANGCHING P O TAMLU DTTUENSANG NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1984PTC002236,TIRU PLYWOOD PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,700000,10-08-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),Lower Tiru P.O.Naginimora NAGALAND Nagaland INDIA,Indian Non-Government Company
U20221NL1984PTC002244,HINDUSTHAN VENEER & SAW MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1500000,800000,20-10-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),Nagimora Dist. Mon Nagaland INDIA 798622,Indian Non-Government Company
U20211NL1984PTC002259,TIZIT TIMBER INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,5000000,903100,15-11-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"P.O. Tizit, Dt. Mon. NAGALAND Nagaland INDIA 798621",Indian Non-Government Company
U20211NL1984PTC002265,CHUMDANG FOREST PRODUCTS PVT LTD,ACTIVE,Private,Company Limited by Shares,1000000,474000,30-11-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIZIT MON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1984PTC002267,VICTORY VENEERS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,10000,18-12-84,Nagaland,RoC-Shillong,Manufacturing (Wood Products),Tizit P.O. Tizit Dist Mon Nagaland INDIA,Indian Non-Government Company
