CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U45400TR2009PLC008277,ASCOR REAL ESTATE AND CONSTRUCTION INDIA LIMITED,UNDER PROCESS OF STRIKING OFF,Public,Company Limited by Shares,"500,000.00","500,000.00",06-11-09,Tripura,RoC-Shillong,Construction,B. K. ROAD AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U55101TR2009PTC008275,FELICITAS HOTELS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"3,000,000.00","100,000.00",05-11-09,Tripura,RoC-Shillong,Trading,PALACE COMPOUND AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U52590TR2009PTC008278,AIKAWA MULTI MARKETING PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","100,000.00",13-11-09,Tripura,RoC-Shillong,Trading,"JOY NAGAR MAIN ROAD, THAKUR BARI NEAR JUBO SAMAJ CLUB AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U60200TR2010SGC008282,TRIPURA URBAN TRANSPORT COMPANY LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000,000.00","2,500,000.00",23-01-10,Tripura,RoC-Shillong,"Transport, storage and Communications",TRTC COMPLEX KRISHNANAGAR AGARTALA Tripura INDIA 799001,State Government Company
U64203TR2010PTC008284,BALAJI TELEWORKS DEVELOPMENT PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","300,000.00",09-02-10,Tripura,RoC-Shillong,"Transport, storage and Communications","8/1, KHOSBAGAN AGARTALA P.O.:- AGARTALA AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U51909TR2010PTC008285,TRIDEV ENTRADE PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"200,000.00","100,000.00",10-02-10,Tripura,RoC-Shillong,Trading,"104, MOTOR STAND AGARTALA TRIPURA Tripura INDIA 799001",Indian Non-Government Company
U14200TR2009PTC008279,WESTWELL NATURAL RESOURCES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",24-12-09,Tripura,RoC-Shillong,Mining & Quarrying,"C/O, AMAL MAJUMDER VILL :- MOHANPUR , P.O:- MAJLISHPUR AGARTALA Tripura INDIA 799035",Indian Non-Government Company
U72200TR2010PTC008280,JMSC TECH SOLUTIONS & DEVELOPERS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",13-01-10,Tripura,RoC-Shillong,Business Services,"37, CENTRAL ROAD AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U51909TR2010PTC008281,NEXUS ENTRADE PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"200,000.00","100,000.00",13-01-10,Tripura,RoC-Shillong,Trading,"45, H.G. B. ROAD, BACK OF WEST P.S, OPPOSITE OF SARKAR NURSING HOME AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U51909TR2010PLC008283,TIWARY ENTRADE LIMITED,UNDER PROCESS OF STRIKING OFF,Public,Company Limited by Shares,"1,000,000.00","500,000.00",09-02-10,Tripura,RoC-Shillong,Trading,"VILL BHAGALPUR, NARSINGARH P.O. BIMANGARH. AGARTALA Tripura INDIA 799015",Indian Non-Government Company
U25199TR2010PTC008287,ANUSHANDHAN MARKETING COMPANY PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"600,000.00","600,000.00",26-02-10,Tripura,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","MOTOR STAND SHANITALA, ASSAM AGARTALA ROAD AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U45201TR2010PTC008286,TRIPURESWARI INFRASTRUCTURE DEVELOPMENT PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",17-02-10,Tripura,RoC-Shillong,Construction,"37, CENTRAL ROAD AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U51909TR2010PTC008292,KAMICHANG MARKETING PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",09-04-10,Tripura,RoC-Shillong,Trading,"C/ODINESH DEBBARMA,NEAR WEIGHT & MEASUREMENT OFF PRATAP RAI ROAD, KRISHNA NAGAR AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U20296TR2010PLC008291,TRIPURA NATURAL FIBRES AND BAMBOO LIMITED,ACTIVE,Public,Company Limited by Shares,"5,000,000.00","500,000.00",06-04-10,Tripura,RoC-Shillong,Manufacturing (Wood Products),Lenin Sarani Agartala Tripura INDIA 799001,Indian Non-Government Company
U45202TR2010PLC008295,SD INFRA PROJECTS AND SERVICES LIMITED,UNDER PROCESS OF STRIKING OFF,Public,Company Limited by Shares,"20,000,000.00","500,000.00",05-05-10,Tripura,RoC-Shillong,Construction,"78, H.G.B ROAD MELARMATH AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U51909TR2010PTC008288,OLIVE TOUCH MARKETING INDIA PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"2,000,000.00","300,000.00",04-03-10,Tripura,RoC-Shillong,Trading,MANTRIBARI ROAD AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U51101TR2010PTC008293,TRIPURA DAIRY MANAGEMENT & FISHERY PROJECT PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"3,000,000.00","2,500,000.00",09-04-10,Tripura,RoC-Shillong,Trading,"RAMESH CHOWMUHANI, UDAIPUR SOUTH TRIPURA SOUTH TRIPURA Tripura INDIA 799120",Indian Non-Government Company
U51909TR2010PTC008289,TRIPURA PRODUCTS MARKETING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","200,000.00",10-03-10,Tripura,RoC-Shillong,Trading,"CHOWDHURY MANJIL , JOGENDRANAGAR OPPOSITE OF VIDYASAGARA GIRLS SCHOOL AGARTALA Tripura INDIA 799010",Indian Non-Government Company
U01403TR2010PTC008290,LEGACY ENTRADE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","150,000.00",12-03-10,Tripura,RoC-Shillong,Agriculture and Allied Activities,MALARMATH NEAR NAJRUL CHHATRABAS AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U45201TR2010PTC008298,SHANTI GANGA INFRASTRUCTURE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","1,700,000.00",26-05-10,Tripura,RoC-Shillong,Construction,N H 44 BIRENDRANAGAR JIRANIA Tripura INDIA 799045,Indian Non-Government Company
U51909TR2010PTC008294,HAM SMAI MARKETING PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","500,000.00",26-04-10,Tripura,RoC-Shillong,Trading,"1ST FLOOR, BUILDING OF SWAPAN KUMAR MODAK VILL. BANAMALIPUR, OPP. EAST THANA, SADAR AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U45201TR2010PTC008296,DEBNATH CONSTRUCTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"22,500,000.00","22,500,000.00",06-05-10,Tripura,RoC-Shillong,Construction,SHIBNAGAR MASJID NAGAR AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U51909TR2010PTC008297,AKANSHA (INDIA) ENTRADE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","2,300,000.00",24-05-10,Tripura,RoC-Shillong,Trading,"31, OFFICE LANE AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U45201TR2010PTC008299,S B M INFRA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","600,000.00",31-05-10,Tripura,RoC-Shillong,Construction,"50 COLLEGE TILLA , TOWN / VILL - AGARTALA PS - EAST AGARTALA , SUB DIV - SADAR AGARTALA Tripura INDIA 799004",Indian Non-Government Company
U45201TR2010PTC008301,SREEJAN REAL ESTATE AND CONSTRUCTION PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","300,000.00",28-06-10,Tripura,RoC-Shillong,Construction,"20, RAJBARI , TOWN / VILL/ PS - DHARMANAGAR SUB DIV - DHARMANAGAR DHARMANAGAR Tripura INDIA 799253",Indian Non-Government Company
U28113TR2010PTC008300,TECHNO BHARTI ISPAT PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"2,500,000.00","250,000.00",04-06-10,Tripura,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",SHIBNAGAR MASZID ROAD Agartala Tripura INDIA 799004,Indian Non-Government Company
U21093TR2010PTC008309,TRIPURESHWARI PAPER MILLS AND INDUSTRIES PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"20,000,000.00","100,000.00",26-08-10,Tripura,RoC-Shillong,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","Growth Centre Area, Industrial Plot in Zone-II C.S.Plot No. 4836(P),Tahasil- Bodhjungnagar AGARTALA Tripura INDIA 799008",Indian Non-Government Company
U55101TR2010PTC008303,FELICITAS HOSPITALITY AND RESTAURANT PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","200,000.00",02-08-10,Tripura,RoC-Shillong,Trading,"C\O PRIYA MOTORS PRIVATE LTD, INDIRA PALLY (W) COMPOUND AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U67120TR2010PTC008308,SURJYA KUMAR BANIK CAPITAL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",17-08-10,Tripura,RoC-Shillong,Finance,GANGAIL ROAD DAS PATTY AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U45400TR2010PTC008312,ROYAL STAR CONSTRUCTIONS & DEVELOPERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","200,000.00",09-09-10,Tripura,RoC-Shillong,Construction,DAKBANGLOW ROAD UDAIPUR Tripura INDIA 799116,Indian Non-Government Company
U51909TR2010PLC008306,FEARLESS PARIWAR PROJECTS INDIA LIMITED,UNDER PROCESS OF STRIKING OFF,Public,Company Limited by Shares,"1,000,000.00","500,000.00",12-08-10,Tripura,RoC-Shillong,Trading,JAIL ASHRAM ROAD P.O. DHALESWAR AGARTALA Tripura INDIA 799007,Indian Non-Government Company
U51909TR2010PTC008302,MANORANJAN COMMERCIAL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"30,000,000.00","8,600,000.00",20-07-10,Tripura,RoC-Shillong,Trading,71/1 CENTRAL ROAD AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U25199TR2010PTC008305,SATYAAM RUBBERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"70,000,000.00","45,865,000.00",10-08-10,Tripura,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","RASIK KUNJA OLD GUEST HOUSE ROAD, KHOSH BAGAN AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U10100TR2010PTC008304,SPEEDWELL MINERALS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",10-08-10,Tripura,RoC-Shillong,Mining & Quarrying,"RASIK KUNJA OLD GUEST HOUSE ROAD, KHOSH BAGAN AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U01400TR2010PTC008311,RIGALIA ECO AGRO PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","300,000.00",09-09-10,Tripura,RoC-Shillong,Agriculture and Allied Activities,"RASIK BHAVAN EAST SHIBNAGAR, PO: AGARTALA COLLEGE AGARTALA Tripura INDIA 799004",Indian Non-Government Company
U45203TR2010PTC008307,DEBASISH DAS CONSTRUCTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"20,000,000.00","500,000.00",16-08-10,Tripura,RoC-Shillong,Construction,JOY NAGAR JOY NAGAR MIDDLE ROAD AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U51909TR2010PTC008313,LUNA MARKETING INDIA PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",14-10-10,Tripura,RoC-Shillong,Trading,"SONALI LASKAR 164, BANAMALIPUR WEST, AGARTALA, AGARTALA Tripura INDIA 799001",Indian Non-Government Company
