CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U20211AS1994PTC004090,BENGAL WOOD AND ALLIED PRODUCTS PVT LTD,ACTIVE,Private,Company Limited by Shares,"1,500,000.00","1,317,400.00",18-02-94,Assam,RoC-Shillong,Manufacturing (Wood Products),PUB BORAGAON N.H.- 37 GORSUKH CHARALI GUWAHATI Assam INDIA 781035,Indian Non-Government Company
U85110AS1994PTC004091,NORTH EAST OPHTHALMIC PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","176,000.00",18-02-94,Assam,RoC-Shillong,"Community, personal & Social Services",JANAPATH BYE LANE 14NABINNAGAR R G BARUA ROAD GUWAHATI KAMRUP ASSAM Assam INDIA,Indian Non-Government Company
U70101AS1994PTC004092,PRIVME HOLDINGS PVT LTD,ACTIVE,Private,Company Limited by Shares,"34,500,000.00","26,246,000.00",23-02-94,Assam,RoC-Shillong,Real Estate and Renting,MAKUM ROAD TINSUKIA Assam INDIA 786125,Indian Non-Government Company
U85110AS1994PTC004094,ADVANCE NEUROSCIENCE HOSPITAL AND RESEARCH PVT LTD,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","2,127,800.00",01-03-94,Assam,RoC-Shillong,"Community, personal & Social Services",KAHILLIPARA ROADNEAR GANESH MANDIR GUWAHATI ASSAM Assam INDIA 781006,Indian Non-Government Company
U17114AS1994PTC004097,BLB COMMERCIAL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"3,000,000.00","2,566,000.00",07-03-94,Assam,RoC-Shillong,Manufacturing (Textiles),"CHARU MARKET, S R C B ROAD FANCY BAZAR GUWAHATI Assam INDIA 781001",Indian Non-Government Company
U15209AS1994PTC004098,SPRIVNG VALLEY INDIA PVT LTD,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","789,000.00",08-03-94,Assam,RoC-Shillong,Manufacturing (Food stuffs),TIGER HILLS TEZPUR Assam INDIA 784001,Indian Non-Government Company
U63022AS1994PTC004099,NILACHAL TRADE AND WAREHOUSING PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","15,000.00",08-03-94,Assam,RoC-Shillong,"Transport, storage and Communications",BELTOLA TINALIBELTOLA BASISTHA ROAD GUWAHATI ASSAM Assam INDIA 781028,Indian Non-Government Company
U70101AS1994PTC004100,JURIPAR HOUSING DEVELOPERS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","200,000.00",08-03-94,Assam,RoC-Shillong,Real Estate and Renting,B K KAKOTY ROAD REHABARIGUWAHATI KAMRUP ASSAM Assam INDIA,Indian Non-Government Company
U72200AS1994PTC004101,MAGDEL COMPUTERS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","5,000.00",09-03-94,Assam,RoC-Shillong,Business Services,"TAYYEBULLA ROAD,DIGHALIPUKHURIEAST GUWAHATI ASSAM Assam INDIA 781001",Indian Non-Government Company
U65929AS1994PTC004102,KALONG VALLEY FINANCE AND INVESTMENT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","2,000.00",21-03-94,Assam,RoC-Shillong,Finance,AMIN PATTYNAGAON ASSAM Assam INDIA 782001,Indian Non-Government Company
