CIN,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,ROC,DESCRIPTION,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U23209PY1995PTC001098,PONDY PETRO PRODUCTS PRIVATE LIMITED,ACTIVE,PRIV,CLSH,5000000,2500000,15-06-95,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","B-40,PIPDIC INDUSTRIAL ESTATE, SEDARAPET, PONDICHERRY-605 111. Pondicherry INDIA 605111",Indian Non-Government Company
U99999PY1995PTC001099,PADMAVATHY PETROPRODUCTS PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,1000000,0,15-06-95,Pondicherry,RoC-Pondicherry,NA,"34, SIDALAI STREET,REDDIYARPALAYAM, PONDICHERRY-605010. Pondicherry INDIA",Indian Non-Government Company
U99999PY1995PTC001100,LOTUS SECURITIES (INDIA) PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,500000,0,15-06-95,Pondicherry,RoC-Pondicherry,NA,"140-C MISSION STREET,IIND FLOOR,PONDICHERRY-605001 Pondicherry INDIA",Indian Non-Government Company
U55101PY1995PLC001101,BEACH HOTEL AND PROPERTIES (INDIA) LIMITED,STRIKE OFF,PUBC,CLSH,20000000,0,20-06-95,Pondicherry,RoC-Pondicherry,Trading,"31, MAIN ROAD,NATESAN NAGAR, PONDICHERRY-605006. PONDICHERRY-605 006. Pondicherry INDIA",Indian Non-Government Company
U99999PY1995PTC001105,HOTEL CONCORDE PLAZA PONDICHERRY PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,100000,0,29-06-95,Pondicherry,RoC-Pondicherry,NA,"38,LAPORTE STREET,PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U65929PY1995PTC001106,KUBERAN FINANCE AND INVESTMENTS PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,1000000,620000,30-06-95,Pondicherry,RoC-Pondicherry,Finance,"111,KAMATCHI AMMAN KOIL STREETPONDICHERRY-1. PONDICHERRY-1. Pondicherry INDIA 605001",Indian Non-Government Company
U99999PY1995PTC001107,SINO AUTO FINANCE PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,100000,0,07-03-95,Pondicherry,RoC-Pondicherry,NA,"NO.59, VELLALA STREET,PONDICHERRY. Pondicherry INDIA",Indian Non-Government Company
U24291PY1995PTC001108,STANDARD MATCH EXPORTS INDIA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,10000000,8511000,07-05-95,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","199, II CROSS,NATESAN NAGAR PONDICHERRY-605005. Pondicherry INDIA 605005",Indian Non-Government Company
U01118PY1995PTC001110,KAYESS HATCHERIES PRIVATE LIMITED,DORMANT,PRIV,CLSH,1500000,2000,07-07-95,Pondicherry,RoC-Pondicherry,Agriculture and Allied Activities,"4,ISWARYA APARTMENTS,ALLAR HIGH ROAD PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U51398PY1995PTC001111,GENESIS DIAMOND TOOLS (INDIA) PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,600000,600000,07-10-95,Pondicherry,RoC-Pondicherry,Trading,"RS NO.142/7,THONDAMANATHAMROAD,PATHUKANNU KOODAPAKKAM PO,PONDICHERRY. PONDICHERRY-605 502 Pondicherry INDIA 605502",Indian Non-Government Company
U67120PY1995PTC001112,SHREYAS STOCK BROKING INDIA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,500000,100000,07-11-95,Pondicherry,RoC-Pondicherry,Finance,"NO.17, KAMARAJ SALAI, PONDICHERRY. Pondicherry INDIA 605009",Indian Non-Government Company
U65923PY1995PTC001113,IOS SOLUTION PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,500000,100000,07-11-95,Pondicherry,RoC-Pondicherry,Finance,"NO.17, KAMARAJ SALAI, PONDICHERRY PONDICHERRY Pondicherry INDIA 605011",Indian Non-Government Company
U01403PY1995PLC001114,URAMEL AGRO INDIA LIMITED,STRIKE OFF,PUBC,CLSH,500000,0,07-12-95,Pondicherry,RoC-Pondicherry,Agriculture and Allied Activities,"C-30, TYPE II, FLATS,VENKATANAGAR, PONDICHERRY-605011. Pondicherry INDIA",Indian Non-Government Company
U65992PY1995PTC001115,SRII LAKSHMI CHITS PRIVATE LIMITED,ACTIVE,PRIV,CLSH,300000,300000,07-12-95,Pondicherry,RoC-Pondicherry,Finance,"NO.150-D, KALATHEESWARAN KOILSTREET PONDICHERRY-605001. 605001. Pondicherry INDIA 605001",Indian Non-Government Company
U19116PY1995PTC001116,JAYASAKTHI LEATHERS PRIVATE LIMITED,DORMANT,PRIV,CLSH,3000000,2425000,07-12-95,Pondicherry,RoC-Pondicherry,Manufacturing (Leather & products thereof),"PLOT NO.19-24,KURUMBAPET(OPP-PONDY DAIRY) PONDICHERRY- PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U99999PY1995PTC001117,DRAGEES DE PONDICHERY PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,1000000,0,14-07-95,Pondicherry,RoC-Pondicherry,NA,"15,GANDHI STREET,COLAS NAGAR PONDICHERRY-605001 Pondicherry INDIA",Indian Non-Government Company
U25202PY1995PTC001118,SHRI MOULIISWARA POLY PRIVATE LIMITED,ACTIVE,PRIV,CLSH,2498000,2498000,14-07-95,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","NO.20, III CROSS,PAARI NAGAR, PAKKAMUDIANPET, PONDICHERRY Pondicherry INDIA 605008",Indian Non-Government Company
U65992PY1995PLC001119,KALKI FINANCIAL AND INVESTMENTS SERVICES PONDICHERRY LIMITED,STRIKE OFF,PUBC,CLSH,200000,0,14-07-95,Pondicherry,RoC-Pondicherry,Finance,"129,YANAMVENKATACHALAMPILLAI STREET PONDICHERRY-1 Pondicherry INDIA",Indian Non-Government Company
U99999PY1995PTC001120,GREENISH PLANTATION INDIA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,1000000,0,19-07-95,Pondicherry,RoC-Pondicherry,NA,"NO.SANTHATHOPE STREET,MADUKARAI, NETTAPAKKAM COMMUNE, PONDICHERRY. Pondicherry INDIA",Indian Non-Government Company
