CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U24232AR2004PTC007456,D KAMSI PHARMACEUTICALS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00","1,000,000.00",30-06-04,Arunachal Pradesh,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",G EXTENSIONNAHARLAGUN PAPUMPARE Arunachal Pradesh INDIA,Indian Non-Government Company
U51109AR2004PTC007521,PLANET SUN MERCHANDISE PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","500,000.00",07-09-04,Arunachal Pradesh,RoC-Shillong,Trading,BIDHA COMPLEXP O YAZALI DIST LOWER SUBANSRI ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U27310AR2005PLC007711,SATYAM ISPAT (NORTH EAST) LIMITED,ACTIVE,Public,Company Limited by Shares,"250,000,000.00","220,097,500.00",25-04-05,Arunachal Pradesh,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","NH 52, BANDERDEWA PAPUMPARE Arunachal Pradesh INDIA 791123",Indian Non-Government Company
U01409AR2005PTC007802,HILL TRIBES MUSHROOM AND POULTRY PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"1,000,000.00","300,000.00",30-06-05,Arunachal Pradesh,RoC-Shillong,Agriculture and Allied Activities,NITI VIHARITANAGAR ARUNACHAL PRADESH. Arunachal Pradesh INDIA 791111,Indian Non-Government Company
U15137AR2005PTC007803,PINE VALLEY FRUIT CANNING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"15,000,000.00","15,000,000.00",30-06-05,Arunachal Pradesh,RoC-Shillong,Manufacturing (Food stuffs),VIVEK BUILDINGVIVEK VIHAR ARUNACHAL PRADESH ITANAGAR Arunachal Pradesh INDIA,Indian Non-Government Company
U20101AR1979PTC001794,CHOWKHAM SAW & VENEER MILLS PVT LTD,ACTIVE,Private,Company Limited by Shares,"3,000,000.00","2,480,000.00",18-10-79,Arunachal Pradesh,RoC-Shillong,Manufacturing (Wood Products),CHOWKHAM Arunachal Pradesh INDIA,Indian Non-Government Company
U51505AR1985PTC002430,DARBAR ELECTRONICS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",220,06-09-85,Arunachal Pradesh,RoC-Shillong,Trading,CHANGLANG Arunachal Pradesh INDIA,Indian Non-Government Company
U01132AR1994PTC004303,MAKANTONG TEA COMPANY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","262,500.00",21-11-94,Arunachal Pradesh,RoC-Shillong,Agriculture and Allied Activities,BORDHUSMSACHANGLANG ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U10102AR1994PTC004330,DONYI POLO INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"10,000,000.00","2,000.00",29-12-94,Arunachal Pradesh,RoC-Shillong,Mining & Quarrying,ABO TANI HOUSEGANGA MARKET ITANAGTAR DIST PAPUMPARE ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U01122AR1996PTC004845,ARUNACHAL AGRO FRUITS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"4,000,000.00",200,04-09-96,Arunachal Pradesh,RoC-Shillong,Agriculture and Allied Activities,ALUBARIP O CHOWKHAM DIST LOHIT ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U01132AR1996PTC004846,ARUNACHAL BIOTECH PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"4,000,000.00",200,04-09-96,Arunachal Pradesh,RoC-Shillong,Agriculture and Allied Activities,ALUBARIP O CHOWKHAM DIST LOHIT ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U85110AR1996PTC004847,MEIN MARKETING PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"4,000,000.00",200,04-09-96,Arunachal Pradesh,RoC-Shillong,"Community, personal & Social Services",ALUBARICHOWKHAM DIST LOHIT ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U75112AR1996SGC004851,ARUNACHAL PRADESH DEVELOPMENT CORPORATION LIMITED,DORMANT,Public,Company Limited by Shares,"50,000,000.00","7,000.00",09-09-96,Arunachal Pradesh,RoC-Shillong,"Community, personal & Social Services","UDYOG SADAN, Dist. Papum pari ITANAGAR Arunachal Pradesh INDIA",State Government Company
U01132AR1996PTC004862,JONNOM TEA COMPANY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"3,500,000.00","3,220,000.00",19-09-96,Arunachal Pradesh,RoC-Shillong,Agriculture and Allied Activities,P.O. RUKSIN EAST SIANG Arunachal Pradesh INDIA,Indian Non-Government Company
U01122AR1996PTC004872,ARUNACHAL AGRO INDUSTRIES DEVELOPMENT CO. PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"10,000,000.00","900,000.00",24-09-96,Arunachal Pradesh,RoC-Shillong,Agriculture and Allied Activities,P.O. ROING ROING Arunachal Pradesh INDIA,Indian Non-Government Company
U15531AR1996PTC004899,ARUNACHAL BREWERIES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00","40,000.00",07-11-96,Arunachal Pradesh,RoC-Shillong,Manufacturing (Food stuffs),C SECTORNAHARLAGUN NAHARLAGUN ARUNACHAL PRADESH Arunachal Pradesh INDIA 791110,Indian Non-Government Company
U15412AR1996PTC004918,THANGA BISCUITS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","3,000.00",09-12-96,Arunachal Pradesh,RoC-Shillong,Manufacturing (Food stuffs),KHARSANGCHANGLANG ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U26960AR1999PTC005800,ARUNACHAL HYDRO ENERGY AND MINING COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",29-06-99,Arunachal Pradesh,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",ITANAGARPLACE ARUNACHAL PRADESH Arunachal Pradesh INDIA 791111,Indian Non-Government Company
U14107AR1999PTC005827,NAMCHIK MINERALS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","509,000.00",22-07-99,Arunachal Pradesh,RoC-Shillong,Mining & Quarrying,P.O. KHARSANG DIST -CHANGLANG CHANGLANG Arunachal Pradesh INDIA 792122,Indian Non-Government Company
U72200AR2000PTC006231,DONYI POLO INFOTECH PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,500,000.00","2,000.00",30-06-00,Arunachal Pradesh,RoC-Shillong,Business Services,NAHARLIGAON Arunachal Pradesh INDIA 791110,Indian Non-Government Company
U15511AR2000PTC006378,MTM WINES AND BOTTLERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","4,886,100.00",20-12-00,Arunachal Pradesh,RoC-Shillong,Manufacturing (Food stuffs),"TIPI INDUSTRIAL ESTATE, BHALUKPONG BHALUKPONG Arunachal Pradesh INDIA 790114",Indian Non-Government Company
U72200AR2000PTC006381,HIMALAYA COMPUTECH (INDIA) PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",21-12-00,Arunachal Pradesh,RoC-Shillong,Business Services,TADAR TASNG MARGITANAGAR PAPUMPARE Arunachal Pradesh INDIA 791111,Indian Non-Government Company
U01132AR2001PTC006465,ROITONG TEA COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","150,000.00",26-03-01,Arunachal Pradesh,RoC-Shillong,Agriculture and Allied Activities,GOJUBORDUMSA CHANGLANG ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U27101AR2001PTC006466,DONYI POLO STEEL AND ROLLING MILLS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","150,000.00",26-03-01,Arunachal Pradesh,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",BESIDES N H 52MAIN ROAD BANDERDEWA ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U15511AR2001PTC006474,DONG BREWERIES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","240,000.00",30-03-01,Arunachal Pradesh,RoC-Shillong,Manufacturing (Food stuffs),BANDERWAITANAGAR ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
